Joint Name,Type,Min,Max,Configuration
linear_joint,prismatic,0,0.472,0.37
pan_joint,revolute,-1.570796326794897,1.570796326794897,-0.810796326794897
tilt_joint,revolute,-1.570796326794897,1.570796326794897,-0.610796326794897
right_shoulder_pan_joint,revolute,-3.14159265,3.14159265,0.44840735
right_shoulder_lift_joint,revolute,-2.238,2.238,-1.628
right_arm_half_joint,revolute,-3.14159265,3.14159265,0.44840735
right_elbow_joint,revolute,-2.809,2.809,0.001
right_wrist_spherical_1_joint,revolute,-3.14159265,3.14159265,-0.39159265
right_wrist_spherical_2_joint,revolute,-2.78,2.78,-0.49
right_wrist_3_joint,revolute,-3.14159265,3.14159265,0
left_shoulder_pan_joint,revolute,-3.14159265,3.14159265,0.71840735
left_shoulder_lift_joint,revolute,-2.238,2.238,-0.908
left_arm_half_joint,revolute,-3.14159265,3.14159265,-0.05159265
left_elbow_joint,revolute,-2.809,2.809,0.891
left_wrist_spherical_1_joint,revolute,-3.14159265,3.14159265,-0.17159265
left_wrist_spherical_2_joint,revolute,-2.78,2.78,-0.64
left_wrist_3_joint,revolute,-3.14159265,3.14159265,3.13840735
right_gripper_finger1_joint,revolute,0,0.986111027,0.98
left_gripper_finger1_joint,revolute,0,0.986111027,0.98
